id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,native,type,level,parent_id,population,timezone,wikiDataId
57837,Bamboo Flat,4023,AN,Andaman and Nicobar Islands,101,IN,India,11.7,92.71667,बांस फ्लैट,city,,,7962.0,Asia/Kolkata,Q627037
133213,Nicobar,4023,AN,Andaman and Nicobar Islands,101,IN,India,7.03002,93.79028,निकोबार,city,,,36842.0,Asia/Kolkata,Q797295
133482,Port Blair,4023,AN,Andaman and Nicobar Islands,101,IN,India,11.66613,92.74635,पोर्ट ब्लेयर,adm1,,,100608.0,Asia/Kolkata,Q203476
134006,South Andaman,4023,AN,Andaman and Nicobar Islands,101,IN,India,10.75776,92.52136,दक्षिण अंडमान,city,,,238142.0,Asia/Kolkata,Q796979
57593,Addanki,4017,AP,Andhra Pradesh,101,IN,India,15.81061,79.97338,अद्दांकी,city,,,28547.0,Asia/Kolkata,Q2350169
134452,Adoni,4017,AP,Andhra Pradesh,101,IN,India,15.62788,77.27495,अदोनी,city,,,184625.0,Asia/Kolkata,Q490906
57620,Akasahebpet,4017,AP,Andhra Pradesh,101,IN,India,17.50455,82.56597,अकासाहेबपेट,city,,,1500.0,Asia/Kolkata,Q582949
57623,Akividu,4017,AP,Andhra Pradesh,101,IN,India,16.58225,81.38112,अकिविदु,city,,,40413.0,Asia/Kolkata,Q416835
57624,Akkarampalle,4017,AP,Andhra Pradesh,101,IN,India,13.65,79.42,अक्करमपल्ले,city,,,44219.0,Asia/Kolkata,Q585782
57658,Amalapuram,4017,AP,Andhra Pradesh,101,IN,India,16.57868,82.00609,अमलापुरम,city,,,53231.0,Asia/Kolkata,Q588625
57690,Amudalavalasa,4017,AP,Andhra Pradesh,101,IN,India,18.41025,83.90295,अमुदलावलसा,city,,,39799.0,Asia/Kolkata,Q582993
57693,Anakapalle,4017,AP,Andhra Pradesh,101,IN,India,17.69134,83.00395,अनकापल्ली,city,,,86519.0,Asia/Kolkata,Q589133
57698,Anantapur,4017,AP,Andhra Pradesh,101,IN,India,14.55,77.41667,अनंतपुर,city,,,,Asia/Kolkata,Q15212
57758,Atmakur,4017,AP,Andhra Pradesh,101,IN,India,15.88109,78.58704,आत्माकुर,city,,,35137.0,Asia/Kolkata,Q583995
57761,Attili,4017,AP,Andhra Pradesh,101,IN,India,16.7,81.6,अत्तिली,city,,,68196.0,Asia/Kolkata,Q4818468
57771,Avanigadda,4017,AP,Andhra Pradesh,101,IN,India,16.02148,80.91808,अवनीगड्डा,city,,,23737.0,Asia/Kolkata,Q3430115
57794,Badvel,4017,AP,Andhra Pradesh,101,IN,India,14.7451,79.06288,बडवेल,city,,,70626.0,Asia/Kolkata,Q3412838
57849,Banganapalle,4017,AP,Andhra Pradesh,101,IN,India,15.31771,78.22669,बंगानापल्ले,city,,,25325.0,Asia/Kolkata,Q1553292
58137,Bapatla,4017,AP,Andhra Pradesh,101,IN,India,15.90422,80.46743,बापतला,city,,,70777.0,Asia/Kolkata,Q633274
57939,Betamcherla,4017,AP,Andhra Pradesh,101,IN,India,15.45144,78.14797,बेताम्चेर्ला,city,,,38994.0,Asia/Kolkata,Q2442016
57971,Bhattiprolu,4017,AP,Andhra Pradesh,101,IN,India,16.1026,80.78074,भट्टीप्रोलु,city,,,18001.0,Asia/Kolkata,Q3429099
58021,Bhimavaram,4017,AP,Andhra Pradesh,101,IN,India,16.54078,81.52322,भीमावरम,city,,,146961.0,Asia/Kolkata,Q757853
58022,Bhimunipatnam,4017,AP,Andhra Pradesh,101,IN,India,17.89017,83.45203,भीमुनिपट्टनम,city,,,55082.0,Asia/Kolkata,Q2483868
58070,Bobbili,4017,AP,Andhra Pradesh,101,IN,India,18.57366,83.35925,बोब्बिली,city,,,56819.0,Asia/Kolkata,Q861841
58179,Challapalle,4017,AP,Andhra Pradesh,101,IN,India,16.11756,80.93139,चल्लापल्ले,city,,,17067.0,Asia/Kolkata,Q2340109
131514,Chemmumiahpet,4017,AP,Andhra Pradesh,101,IN,India,15.89794,79.32129,चेम्मुमियापेट,city,,,31416.0,Asia/Kolkata,Q886385
131556,Chilakalurupet,4017,AP,Andhra Pradesh,101,IN,India,16.08987,80.16705,चिलकलूरिपेट,city,,,101398.0,Asia/Kolkata,Q1105252
131563,Chinnachowk,4017,AP,Andhra Pradesh,101,IN,India,14.47516,78.8354,चिन्नाचौक,city,,,64053.0,Asia/Kolkata,Q721289
131611,Chipurupalle,4017,AP,Andhra Pradesh,101,IN,India,18.31142,83.56846,चिपुरुपल्ले,city,,,25898.0,Asia/Kolkata,Q532883
131612,Chirala,4017,AP,Andhra Pradesh,101,IN,India,15.82385,80.35219,चिराला,city,,,92942.0,Asia/Kolkata,Q1193800
131575,Chittoor,4017,AP,Andhra Pradesh,101,IN,India,13.41667,79.0,चित्तूर,city,,,160722.0,Asia/Kolkata,Q15213
131577,Chodavaram,4017,AP,Andhra Pradesh,101,IN,India,17.82884,82.93526,चोडावरम,city,,,29000.0,Asia/Kolkata,Q5103763
131627,Cuddapah,4017,AP,Andhra Pradesh,101,IN,India,14.41667,78.75,कडप्पा,city,,,,Asia/Kolkata,Q15342
131628,Cumbum,4017,AP,Andhra Pradesh,101,IN,India,15.58171,79.11059,कम्बम,city,,,22653.0,Asia/Kolkata,Q15342
131658,Darsi,4017,AP,Andhra Pradesh,101,IN,India,15.76978,79.67939,दारसी,city,,,33418.0,Asia/Kolkata,Q3298990
131727,Dharmavaram,4017,AP,Andhra Pradesh,101,IN,India,14.41435,77.72035,धर्मावरम,city,,,121874.0,Asia/Kolkata,Q1948238
131740,Dhone,4017,AP,Andhra Pradesh,101,IN,India,15.3952,77.8715,धोने,city,,,59272.0,Asia/Kolkata,Q1263568
131769,Diguvametta,4017,AP,Andhra Pradesh,101,IN,India,15.39507,78.8293,दिगुवमेट्टा,city,,,5166.0,Asia/Kolkata,Q5276378
131823,East Godavari,4017,AP,Andhra Pradesh,101,IN,India,17.83333,81.83333,पूर्वी गोदावरी,city,,,5154296.0,Asia/Kolkata,Q15338
131830,Elamanchili,4017,AP,Andhra Pradesh,101,IN,India,17.54907,82.85749,एलामंचिली,city,,,27265.0,Asia/Kolkata,Q3415001
131832,Ellore,4017,AP,Andhra Pradesh,101,IN,India,16.71311,81.10437,एलोर,adm2,,,218020.0,Asia/Kolkata,Q1003496
131836,Emmiganur,4017,AP,Andhra Pradesh,101,IN,India,15.77203,77.48345,एम्मिगानुर,city,,,95149.0,Asia/Kolkata,Q2734064
131842,Erraguntla,4017,AP,Andhra Pradesh,101,IN,India,14.63853,78.53974,एर्रागुंटला,city,,,32574.0,Asia/Kolkata,Q720903
131846,Etikoppaka,4017,AP,Andhra Pradesh,101,IN,India,17.5,82.73333,एतिकोप्पाका,city,,,12000.0,Asia/Kolkata,Q1773429
131895,Gajuwaka,4017,AP,Andhra Pradesh,101,IN,India,17.7,83.21667,गजुवाका,city,,,250423.0,Asia/Kolkata,Q1524653
131906,Ganguvada,4017,AP,Andhra Pradesh,101,IN,India,18.66667,84.11667,गंगुवाड़ा,city,,,2176.0,Asia/Kolkata,Q186141
131915,Gannavaram,4017,AP,Andhra Pradesh,101,IN,India,16.54092,80.80213,गन्नवरम,city,,,20728.0,Asia/Kolkata,Q5521417
131955,Giddalur,4017,AP,Andhra Pradesh,101,IN,India,15.37439,78.92609,गिद्दलुर,city,,,35150.0,Asia/Kolkata,Q207098
131972,Gokavaram,4017,AP,Andhra Pradesh,101,IN,India,17.25823,81.84985,गोकावरम,city,,,16389.0,Asia/Kolkata,Q5578050
