city,state,lat,lon,population,bortle,limiting_magnitude
Bamboo Flat,Andaman and Nicobar Islands,11.7,92.71667,7962.0,3,-7.726605438826365
Nicobar,Andaman and Nicobar Islands,7.03002,93.79028,36842.0,4,-5.7539843347686705
Port Blair,Andaman and Nicobar Islands,11.66613,92.74635,100608.0,5,-3.784880204202082
South Andaman,Andaman and Nicobar Islands,10.75776,92.52136,238142.0,6,-1.8244515764056963
Addanki,Andhra Pradesh,15.81061,79.97338,28547.0,4,-5.7539843347686705
Adoni,Andhra Pradesh,15.62788,77.27495,184625.0,5,-3.784880204202082
Akasahebpet,Andhra Pradesh,17.50455,82.56597,1500.0,3,-7.726605438826365
Akividu,Andhra Pradesh,16.58225,81.38112,40413.0,4,-5.7539843347686705
Akkarampalle,Andhra Pradesh,13.65,79.42,44219.0,4,-5.7539843347686705
Amalapuram,Andhra Pradesh,16.57868,82.00609,53231.0,5,-3.784880204202082
Amudalavalasa,Andhra Pradesh,18.41025,83.90295,39799.0,4,-5.7539843347686705
Anakapalle,Andhra Pradesh,17.69134,83.00395,86519.0,5,-3.784880204202082
Anantapur,Andhra Pradesh,14.55,77.41667,,3,-7.726605438826365
Atmakur,Andhra Pradesh,15.88109,78.58704,35137.0,4,-5.7539843347686705
Attili,Andhra Pradesh,16.7,81.6,68196.0,5,-3.784880204202082
Avanigadda,Andhra Pradesh,16.02148,80.91808,23737.0,4,-5.7539843347686705
Badvel,Andhra Pradesh,14.7451,79.06288,70626.0,5,-3.784880204202082
Banganapalle,Andhra Pradesh,15.31771,78.22669,25325.0,4,-5.7539843347686705
Bapatla,Andhra Pradesh,15.90422,80.46743,70777.0,5,-3.784880204202082
Betamcherla,Andhra Pradesh,15.45144,78.14797,38994.0,4,-5.7539843347686705
Bhattiprolu,Andhra Pradesh,16.1026,80.78074,18001.0,4,-5.7539843347686705
Bhimavaram,Andhra Pradesh,16.54078,81.52322,146961.0,5,-3.784880204202082
Bhimunipatnam,Andhra Pradesh,17.89017,83.45203,55082.0,5,-3.784880204202082
Bobbili,Andhra Pradesh,18.57366,83.35925,56819.0,5,-3.784880204202082
Challapalle,Andhra Pradesh,16.11756,80.93139,17067.0,4,-5.7539843347686705
Chemmumiahpet,Andhra Pradesh,15.89794,79.32129,31416.0,4,-5.7539843347686705
Chilakalurupet,Andhra Pradesh,16.08987,80.16705,101398.0,5,-3.784880204202082
Chinnachowk,Andhra Pradesh,14.47516,78.8354,64053.0,5,-3.784880204202082
Chipurupalle,Andhra Pradesh,18.31142,83.56846,25898.0,4,-5.7539843347686705
Chirala,Andhra Pradesh,15.82385,80.35219,92942.0,5,-3.784880204202082
Chittoor,Andhra Pradesh,13.41667,79.0,160722.0,5,-3.784880204202082
Chodavaram,Andhra Pradesh,17.82884,82.93526,29000.0,4,-5.7539843347686705
Cuddapah,Andhra Pradesh,14.41667,78.75,,3,-7.726605438826365
Cumbum,Andhra Pradesh,15.58171,79.11059,22653.0,4,-5.7539843347686705
Darsi,Andhra Pradesh,15.76978,79.67939,33418.0,4,-5.7539843347686705
Dharmavaram,Andhra Pradesh,14.41435,77.72035,121874.0,5,-3.784880204202082
Dhone,Andhra Pradesh,15.3952,77.8715,59272.0,5,-3.784880204202082
Diguvametta,Andhra Pradesh,15.39507,78.8293,5166.0,3,-7.726605438826365
East Godavari,Andhra Pradesh,17.83333,81.83333,5154296.0,8,2.0034398595035796
