des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2020 AY1,2020,1,1,-2276.1027684998962,3166057.992682227,2.9496101599085644e-05,5.62142224642355,25.3,5.2371132207656755e-11,7.611217290043473e-11,0,2,watch
2019 YK,2020,1,1,-2276.052768499896,5400627.452908097,5.125834980376684e-05,7.35926278450408,24.1,6.984811846312936e-11,6.845896462286585e-10,0,2,monitor
2020 AP3,2020,1,1,-2275.672907388785,2504340.9716432625,1.620931344815481e-05,5.19125028298636,26.6,3.360029803351185e-11,1.0772230561132921e-11,0,2,watch
2020 AN2,2020,1,1,-2275.252768499896,3024018.6775611024,1.6973234855868285e-05,15.3528157321644,26.5,8.617240001012871e-11,1.0817770895719525e-10,0,2,watch
2020 AX,2020,1,1,-2275.1895740554514,7428459.14177234,1.8610781937477092e-05,7.31673540674871,26.3,1.833087650485878e-11,3.238891536411672e-11,0,2,monitor
2020 AC,2020,1,2,-2274.8513796110074,1295027.4596535142,1.5479774167485416e-05,5.79319898159094,26.7,6.924749840156094e-11,1.1684189606110721e-11,0,2,watch
2020 AD,2020,1,2,-2274.756935166563,894941.733539808,1.2296021688389236e-05,15.6228251361271,27.2,2.1464927772215304e-10,4.258737267816313e-11,0,2,watch
2019 YH2,2020,1,2,-2274.740268499896,2824432.3559681466,7.375044082140057e-05,14.2787344885439,23.31,3.728405676548355e-10,7.676109133730186e-09,0,2,watch
2020 AP1,2020,1,2,-2274.4923518332293,326831.05654730415,4.071595451450587e-06,5.6085426146256,29.6,6.987009386505846e-11,1.9927909980348003e-13,1,2,watch
2019 AE3,2020,1,2,-2274.4680462776737,1865744.7595106903,1.1214105060766337e-05,8.24310671664457,27.4,4.9545396966198045e-11,8.993806700283341e-12,1,2,watch
2020 AC1,2020,1,2,-2274.188879611007,797603.0858279965,7.108281536872795e-06,6.22399768468044,28.39,5.5468601631129835e-11,1.3058718178713642e-12,1,2,watch
2020 AU2,2020,1,4,-2272.8972129443405,5420961.230955763,3.234183227462154e-05,8.58443501787849,25.1,5.121533722381265e-11,2.339834496382519e-10,0,3,monitor
2020 AN1,2020,1,4,-2272.8486018332296,988421.0640658417,2.1368036680403075e-05,11.8318337309518,26.0,2.557847726549129e-10,1.2819344557688185e-10,0,3,watch
2019 YB4,2020,1,4,-2272.7013796110073,1255605.4189809,1.4783069563234703e-05,6.05792387919984,26.8,7.132392769352499e-11,1.1127800433528966e-11,0,0,watch
2020 AM2,2020,1,4,-2272.5687407221185,4133191.9156398363,1.5479774167485416e-05,10.1138873216556,26.7,3.7878882686817204e-11,3.561212805232642e-11,0,0,watch
2020 BM2,2020,1,5,-2271.934018499896,6434548.202019226,1.4783069563234703e-05,3.73219486487191,26.8,8.574540834682822e-12,4.223673380791222e-12,1,3,monitor
2020 AU1,2020,1,6,-2271.1173518332293,1588503.1101769179,1.6973234855868285e-05,6.2704387470487,26.5,6.69999503439062e-11,1.8045028161128806e-11,1,1,watch
2020 AW,2020,1,6,-2271.065268499896,1829584.05466601,6.078054927992698e-06,4.2717897154472,28.73,1.4191297997545204e-11,3.845753431475119e-13,1,0,watch
2019 YT3,2020,1,7,-2270.022907388785,5049781.637298556,2.342958631444978e-05,7.36997521548558,25.8,3.4194641045696763e-11,6.556827516995075e-11,1,0,monitor
2020 BL1,2020,1,7,-2269.8576296110073,4468301.658056301,2.2375081223848856e-05,8.8552015874723,25.9,4.434254218624903e-11,8.244391543802651e-11,1,0,watch
2020 AV1,2020,1,7,-2269.8173518332296,2782880.7197370455,2.0500507885434345e-05,12.087755341844,26.09,8.904626128786761e-11,1.1815525098144671e-10,1,0,watch
2020 AJ1,2020,1,7,-2269.515268499896,5191268.734720879,7.794075717228188e-05,22.167484387712,23.19,3.328185470783391e-10,2.1837078088443495e-08,0,0,monitor
2020 AR1,2020,1,8,-2268.9201296110073,2655362.2508671195,1.2296021688389236e-05,9.58761251199934,27.2,4.439676407575599e-11,1.6039198106786823e-11,1,0,watch
2020 AT1,2020,1,9,-2267.6437407221183,948358.6982745015,1.0709387191897302e-05,6.22829274346022,27.5,7.033330179346675e-11,4.471978829590527e-12,1,0,watch
2019 YV,2020,1,10,-2267.120129611007,6629847.61966122,6.453043913459657e-05,4.53696810997298,23.6,4.4159769767254086e-11,5.191503580626883e-10,1,0,monitor
2020 AL2,2020,1,10,-2266.883324055452,2383363.8669534563,2.5690030538448946e-05,24.7866415133551,25.6,2.671726236403978e-10,9.77680776245378e-10,0,2,watch
2019 YF4,2020,1,10,-2266.747907388785,1427827.6479188963,1.3482319680622481e-05,2.89710155826889,27.0,2.735599735216038e-11,1.930585962320419e-12,0,2,watch
2020 BK7,2020,1,10,-2266.4222129443406,4741063.010981111,2.342958631444978e-05,3.55778309725148,25.8,1.7582003439328708e-11,1.5279904488238788e-11,0,2,watch
2019 UO,2020,1,10,-2266.1486018332293,4519341.796005318,0.000334013961648375,9.39531657645342,20.03,6.943858314535327e-10,3.087340578915296e-07,0,2,watch
2020 AH3,2020,1,11,-2266.065268499896,3457289.5118075786,4.6748170628532225e-05,14.2693111644493,24.3,1.9294426769557227e-10,1.952395156699024e-09,0,2,watch
2019 WC5,2020,1,11,-2265.880546277674,2432942.503922172,0.00010858369608127248,12.9767841709804,22.47,5.791617295774279e-10,2.023465796182981e-08,0,2,watch
