asteroid_id,wavelength_nm,reflectance,class_label
1_Ceres,450.0,0.965,C
1_Ceres,500.0,0.985,C
1_Ceres,550.0,1.0,C
1_Ceres,600.0,1.007,C
1_Ceres,650.0,1.012,C
1_Ceres,700.0,1.014,C
1_Ceres,750.0,1.014,C
1_Ceres,800.0,1.012,C
1_Ceres,850.0,1.009,C
1_Ceres,900.0,1.005,C
1_Ceres,950.0,1.003,C
1_Ceres,1000.0,1.004,C
1_Ceres,1050.0,1.004,C
1_Ceres,1100.0,1.005,C
1_Ceres,1150.0,1.008,C
1_Ceres,1200.0,1.012,C
1_Ceres,1250.0,1.015,C
1_Ceres,1300.0,1.019,C
1_Ceres,1350.0,1.026,C
1_Ceres,1400.0,1.034,C
1_Ceres,1450.0,1.043,C
1_Ceres,1500.0,1.052,C
1_Ceres,1550.0,1.062,C
1_Ceres,1600.0,1.071,C
1_Ceres,1650.0,1.081,C
1_Ceres,1700.0,1.09,C
1_Ceres,1750.0,1.101,C
1_Ceres,1800.0,1.109,C
1_Ceres,1850.0,1.12,C
1_Ceres,1900.0,1.13,C
1_Ceres,1950.0,1.139,C
1_Ceres,2000.0,1.148,C
1_Ceres,2050.0,1.158,C
1_Ceres,2100.0,1.17,C
1_Ceres,2150.0,1.18,C
1_Ceres,2200.0,1.188,C
1_Ceres,2250.0,1.196,C
1_Ceres,2300.0,1.202,C
1_Ceres,2350.0,1.208,C
1_Ceres,2400.0,1.214,C
1_Ceres,2450.0,1.22,C
2_Pallas,450.0,0.978,B
2_Pallas,500.0,0.989,B
2_Pallas,550.0,1.0,B
2_Pallas,600.0,1.004,B
2_Pallas,650.0,1.002,B
2_Pallas,700.0,0.995,B
2_Pallas,750.0,0.983,B
2_Pallas,800.0,0.97,B
2_Pallas,850.0,0.955,B
2_Pallas,900.0,0.94,B
2_Pallas,950.0,0.93,B
2_Pallas,1000.0,0.921,B
2_Pallas,1050.0,0.912,B
2_Pallas,1100.0,0.905,B
2_Pallas,1150.0,0.898,B
2_Pallas,1200.0,0.892,B
2_Pallas,1250.0,0.885,B
2_Pallas,1300.0,0.879,B
2_Pallas,1350.0,0.876,B
2_Pallas,1400.0,0.873,B
2_Pallas,1450.0,0.868,B
2_Pallas,1500.0,0.861,B
2_Pallas,1550.0,0.859,B
2_Pallas,1600.0,0.858,B
2_Pallas,1650.0,0.855,B
2_Pallas,1700.0,0.848,B
2_Pallas,1750.0,0.847,B
2_Pallas,1800.0,0.842,B
2_Pallas,1850.0,0.841,B
2_Pallas,1900.0,0.841,B
2_Pallas,1950.0,0.841,B
2_Pallas,2000.0,0.84,B
2_Pallas,2050.0,0.837,B
2_Pallas,2100.0,0.834,B
2_Pallas,2150.0,0.831,B
2_Pallas,2200.0,0.828,B
2_Pallas,2250.0,0.825,B
2_Pallas,2300.0,0.82,B
2_Pallas,2350.0,0.814,B
2_Pallas,2400.0,0.808,B
2_Pallas,2450.0,0.803,B
3_Juno,450.0,0.852,Sq
3_Juno,500.0,0.929,Sq
3_Juno,550.0,1.0,Sq
3_Juno,600.0,1.059,Sq
3_Juno,650.0,1.128,Sq
3_Juno,700.0,1.195,Sq
3_Juno,750.0,1.232,Sq
3_Juno,800.0,1.216,Sq
3_Juno,850.0,1.148,Sq
3_Juno,900.0,1.09,Sq
3_Juno,950.0,1.111,Sq
3_Juno,1000.0,1.205,Sq
3_Juno,1050.0,1.287,Sq
3_Juno,1100.0,1.351,Sq
3_Juno,1150.0,1.406,Sq
3_Juno,1200.0,1.448,Sq
3_Juno,1250.0,1.471,Sq
3_Juno,1300.0,1.498,Sq
3_Juno,1350.0,1.521,Sq
3_Juno,1400.0,1.541,Sq
